objectid;filename;youtubeid;vimeoid;title;creator;date;description;subject;location;latitude;longitude;source;identifier;type;format;language;rights;rightsstatement
coll001;test001.jpg;;;Administration Building, University of Idaho, No. 30;Pacific Photo Co.;14/10/1910;Photographic postcard of the University of Idaho administration building in Moscow, Idaho.;"universities;buildings;campuses;picture postcards";Moscow, Idaho;46.725.562;-117.009.633;PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives;pg_9_12_01bl;"Image;StillImage";image/jpeg;eng;Public domain;http://rightsstatements.org/vocab/NoC-US/1.0/
coll002;iniciomasacre.png;;;Inicio Masacre;;;Inicio del glitch;digital history, test, runescape;;;;;;"Image;StillImage";image/png;eng;;
coll003;durial321.jpg;;;Durial321;;;Perpetrador de la masacre;digital history, test, runescape;;;;;;"Image;StillImage";image/jpeg;eng;;
coll004;;;;;;;;;;;;;;;;;;
coll005;;;;;;;;;;;;;;;;;;
coll006;;;;;;;;;;;;;;;;;;
coll007;;;;;;;;;;;;;;;;;;
coll008;;;;;;;;;;;;;;;;;;
coll009;;;;;;;;;;;;;;;;;;
coll010;;;;;;;;;;;;;;;;;;
coll011;;;;;;;;;;;;;;;;;;
coll012;;;;;;;;;;;;;;;;;;
coll013;;;;;;;;;;;;;;;;;;
