objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,iniciomasacre.png,,,Inicio Masacre,,2006,Inicio del glitch,"digital history, test, runescape",Falador,2210,5720,,,Image;StillImage,image/png,eng,,
coll002,durial321.jpg,,,Durial321,,2006,Perpetrador de la masacre,"digital history, test, runescape",Falador,2200,5740,,,Image;StillImage,image/jpeg,eng,,
coll003,Pay_to_PK_riot.gif,,,"Protesta ""Pay to PK""",,2007,,"digital history, test, runescape",Falador,2650,5740,,,Image;gif,image/gif,,,
coll004,,b0y2huQoOnw&ab,,"Masacre de Falador",,2006,,"digital history, test, runescape",Falador,2640,5735,,,video;mp4,video/mp4,,,
coll005,clanwar2013.png,,,Guerra de clanes,,2013,Encuentro entre distintos clanes en "The Wilderness","digital history, test, runescape",Demonic Ruins:Wilderness,400,6713,,,Image;StillImage,image/jpeg,eng,,






























